transaction year,house age,distance to the nearest MRT station,convenience stores close by,latitude,longitude,house price of unit area
2013,31,5512,1,24.95095,121.48458000000001,18.8
2013,28,330,8,24.974079999999997,121.54011000000001,43.4
2012,11,390,5,24.97937,121.54245,46.8
2013,18,1783,3,24.96731,121.51486000000001,20.9
2013,18,1414,1,24.95182,121.54887,26.6
2013,21,463,9,24.9703,121.54458000000001,42.0
2013,11,201,8,24.98489,121.54121,55.9
2013,35,640,3,24.97563,121.53715,61.5
2013,13,1712,2,24.96412,121.5167,30.8
2012,32,265,8,24.98059,121.53986,40.2
2013,8,104,5,24.966739999999998,121.54066999999999,52.5
2013,17,4082,0,24.94155,121.50381000000002,18.8
2013,43,57,7,24.9675,121.54068999999998,42.7
2013,39,480,4,24.97353,121.53885,38.8
2013,16,967,4,24.98872,121.53408,40.3
2013,17,189,8,24.97707,121.54308,47.1
2013,12,1360,1,24.95204,121.54842,26.6
2012,16,4066,0,24.942970000000003,121.50341999999999,12.9
2013,8,104,5,24.966739999999998,121.54066999999999,55.5
2012,21,512,4,24.974,121.53842,42.5
2013,2,184,6,24.96581,121.54086000000001,45.4
2013,2,1554,3,24.97026,121.51642,31.1
2013,19,461,5,24.95425,121.5399,32.9
2013,30,377,6,24.964270000000003,121.53963999999999,36.8
2013,13,319,6,24.96495,121.54276999999999,47.4
2013,42,443,6,24.97927,121.53873999999999,35.3
2013,8,104,5,24.966739999999998,121.54066999999999,51.6
2012,14,2615,0,24.95495,121.56173999999999,21.8
2013,19,383,8,24.971999999999998,121.54477,48.1
2013,7,379,10,24.98343,121.53761999999999,49.8
2012,40,167,5,24.9663,121.54026,41.0
2012,5,390,5,24.97937,121.54245,43.1
2013,2,533,4,24.97445,121.54765,55.0
2013,5,1559,3,24.97213,121.51626999999999,28.9
2013,16,2103,3,24.960420000000003,121.51462,25.6
2013,3,49,8,24.95836,121.53756000000001,56.8
2013,4,312,5,24.95591,121.53956000000001,51.7
2013,8,1962,1,24.95468,121.55481,23.5
2013,14,1717,2,24.964470000000002,121.51648999999999,23.0
2012,0,208,6,24.95618,121.53844,44.0
2013,35,170,7,24.96719,121.54269,48.5
2012,7,2175,3,24.96305,121.51253999999999,32.1
2012,38,642,3,24.97559,121.53713,31.5
2013,6,90,9,24.97433,121.5431,58.1
2013,17,395,5,24.95674,121.53399999999999,24.5
2012,1,23,7,24.96772,121.54101999999999,49.7
2012,12,250,7,24.96606,121.54297,39.3
2013,12,187,1,24.973879999999998,121.52981000000001,33.1
2012,15,1497,3,24.970029999999998,121.51696000000001,23.6
2013,13,492,5,24.96515,121.53737,43.8
2013,14,169,1,24.973689999999998,121.52978999999999,50.2
2012,34,623,7,24.979329999999997,121.53641999999999,40.3
2013,29,1487,2,24.97542,121.51726000000001,27.0
2013,16,289,5,24.982029999999998,121.54348,59.6
2013,13,492,5,24.96515,121.53737,42.3
2013,3,577,6,24.97201,121.54722,41.6
2012,14,1935,2,24.96386,121.51458000000001,22.9
2013,11,1931,2,24.96365,121.51471000000001,21.3
2012,3,56,7,24.95744,121.53711000000001,53.5
2013,31,592,2,24.9726,121.53561,34.1
2013,0,274,1,24.9748,121.53058999999999,43.5
2013,8,3078,0,24.954639999999998,121.56626999999999,22.0
2013,13,1144,4,24.99176,121.53456000000001,36.7
2013,17,444,1,24.97501,121.5273,43.9
2013,7,451,5,24.97563,121.54693999999999,57.1
2012,27,4412,1,24.95032,121.49587,17.4
2012,28,372,6,24.978379999999998,121.54118999999999,40.8
2012,12,383,7,24.96735,121.54463999999999,42.5
2012,15,383,7,24.96735,121.54463999999999,34.4
2013,21,1055,0,24.96211,121.54928000000001,23.1
2013,16,289,5,24.982029999999998,121.54348,53.0
2012,38,461,0,24.97229,121.53445,35.7
2013,16,289,5,24.982029999999998,121.54348,55.0
2013,17,995,0,24.96305,121.54915,25.5
2013,38,665,3,24.97503,121.53692,34.2
2013,5,390,5,24.97937,121.54245,49.5
2012,1,1455,1,24.9512,121.54899999999999,27.0
2012,30,161,9,24.98353,121.53966000000001,39.7
2013,38,804,4,24.978379999999998,121.53477,62.9
2012,23,130,6,24.95663,121.53765,37.2
2013,38,216,7,24.98086,121.54162,41.0
2012,0,292,6,24.977439999999998,121.54458000000001,71.0
2013,17,6488,1,24.95719,121.47353000000001,11.2
2013,0,292,6,24.977439999999998,121.54458000000001,73.6
2013,30,464,6,24.97964,121.53805,36.2
2013,3,383,5,24.98085,121.54391000000001,58.8
2013,4,432,7,24.9805,121.53778,45.2
2012,31,258,9,24.96867,121.54331,36.3
2013,3,383,5,24.98085,121.54391000000001,55.0
2012,15,815,4,24.97886,121.53464,37.4
2013,11,533,4,24.97445,121.54765,40.3
2013,13,4082,0,24.94155,121.50381000000002,15.6
2012,13,1236,1,24.97694,121.55391000000002,30.6
2013,33,181,9,24.97697,121.54262,42.0
2013,13,492,5,24.96515,121.53737,38.9
2012,15,205,7,24.984189999999998,121.54243000000001,55.1
2013,30,6396,1,24.94375,121.47883,12.2
2013,17,1783,3,24.96731,121.51486000000001,23.7
2012,18,2674,3,24.96143,121.50827,25.7
2013,13,4079,0,25.01459,121.51816000000001,27.3
2013,34,157,7,24.966279999999998,121.54196,39.1
2013,31,414,4,24.98199,121.54463999999999,32.5
2013,5,2408,0,24.95505,121.55963999999999,22.3
2012,34,512,6,24.987479999999998,121.54301000000001,34.1
2013,0,292,6,24.977439999999998,121.54458000000001,63.3
2012,15,815,4,24.97886,121.53464,38.1
2012,33,186,6,24.96604,121.54211000000001,42.2
2013,18,390,7,24.979229999999998,121.53986,40.6
2012,2,2077,3,24.96357,121.51328999999998,33.4
2013,3,757,3,24.975379999999998,121.54971,36.7
2013,3,2147,3,24.962989999999998,121.51284,31.7
2013,13,4197,0,24.93885,121.50383000000001,19.2
2012,13,4573,0,24.94867,121.49507,19.2
2012,12,1144,4,24.99176,121.53456000000001,34.1
2012,18,373,8,24.9866,121.54082,39.5
2013,19,557,4,24.97419,121.53797,47.0
2013,32,204,8,24.98236,121.53923,48.2
2013,33,1978,2,24.98674,121.51843999999998,23.5
2013,33,196,7,24.97701,121.54223999999999,39.4
2012,5,90,9,24.97433,121.5431,53.5
2013,25,4519,0,24.94826,121.49587,22.1
2012,1,329,5,24.98254,121.54395,51.8
2013,6,90,9,24.97433,121.5431,59.0
2013,39,424,7,24.97429,121.53917,30.0
2013,4,2147,3,24.962989999999998,121.51284,31.3
2013,9,1402,0,24.985689999999998,121.5276,42.3
2012,17,350,1,24.97544,121.53119,37.4
2013,17,1485,4,24.97073,121.51700000000001,30.7
2013,34,324,6,24.97814,121.5417,46.0
2013,2,533,4,24.97445,121.54765,53.9
2012,25,2707,3,24.96056,121.50831000000001,17.7
2013,17,390,5,24.97937,121.54245,40.1
2013,37,590,1,24.971529999999998,121.53558999999998,39.7
2013,16,323,6,24.97841,121.54281,49.3
2012,31,600,5,24.96871,121.54651000000001,30.9
2012,3,577,6,24.97201,121.54722,47.7
2012,4,2180,3,24.96324,121.51241,28.6
2012,16,4066,0,24.942970000000003,121.50341999999999,11.6
2013,15,3771,0,24.933629999999997,121.51158000000001,29.3
2013,18,2175,3,24.9633,121.51243000000001,28.1
2013,9,2102,3,24.96044,121.51462,23.1
2013,16,3780,0,24.93293,121.51203000000001,45.1
2013,9,1402,0,24.985689999999998,121.5276,38.5
2012,31,1160,0,24.949679999999997,121.53008999999999,13.7
2012,32,87,10,24.983,121.54021999999999,47.1
2013,27,515,5,24.962989999999998,121.5432,37.4
2012,15,289,5,24.982029999999998,121.54348,42.1
2013,27,337,6,24.96431,121.54063000000001,36.5
2012,18,6306,1,24.95743,121.47516,15.0
2013,14,289,5,24.982029999999998,121.54348,53.3
2013,6,90,9,24.97433,121.5431,63.9
2013,8,2216,4,24.96007,121.51361000000001,23.9
2013,11,1712,2,24.96412,121.5167,28.8
2013,16,289,5,24.982029999999998,121.54348,51.7
2013,4,387,9,24.98118,121.53788,44.7
2013,10,276,5,24.95593,121.53913,33.6
2012,30,1735,2,24.96464,121.51623000000001,25.9
2012,5,90,9,24.97433,121.5431,52.7
2013,13,4082,0,24.94155,121.50381000000002,15.4
2012,5,90,9,24.97433,121.5431,50.0
2013,35,614,7,24.979129999999998,121.53666000000001,33.1
2013,0,292,6,24.977439999999998,121.54458000000001,70.1
2013,6,1939,1,24.95155,121.55386999999999,31.3
2013,16,389,6,24.96412,121.54273,40.6
2013,26,335,6,24.9796,121.5414,38.1
2012,14,339,1,24.975189999999998,121.53151000000001,26.5
2013,32,424,8,24.97587,121.53913,36.3
2012,34,179,8,24.973489999999998,121.54245,39.7
2012,32,84,10,24.982979999999998,121.54024,37.9
2013,19,616,3,24.97723,121.53766999999999,39.6
2013,16,4066,0,24.942970000000003,121.50341999999999,18.2
2012,19,306,9,24.980339999999998,121.53951,42.2
2012,0,185,0,24.9711,121.5317,55.3
2013,6,90,9,24.97433,121.5431,62.2
2012,20,2469,4,24.96108,121.51046000000001,23.8
2013,13,750,2,24.97371,121.54951000000001,37.8
2013,13,561,5,24.987460000000002,121.54391000000001,45.9
2012,12,187,1,24.973879999999998,121.52981000000001,28.5
2013,16,289,5,24.982029999999998,121.54348,46.2
2013,16,368,8,24.9675,121.54451,42.3
2012,0,185,0,24.9711,121.5317,52.2
2012,12,561,5,24.987460000000002,121.54391000000001,42.0
2013,18,350,1,24.97544,121.53119,43.1
2012,2,451,5,24.97563,121.54693999999999,45.5
2012,3,383,5,24.98085,121.54391000000001,56.2
2013,9,1402,0,24.985689999999998,121.5276,43.2
2012,13,492,5,24.96515,121.53737,40.5
2012,17,2261,4,24.96182,121.51222,29.5
2013,13,492,5,24.96515,121.53737,31.3
2013,41,124,6,24.966739999999998,121.54038999999999,60.7
2013,16,1643,2,24.95394,121.55174,24.7
2013,16,4082,0,24.94155,121.50381000000002,16.7
2013,34,126,8,24.96881,121.54088999999999,48.2
2013,12,1449,3,24.97289,121.51728,21.4
2012,31,1159,0,24.9496,121.53018,13.8
2013,25,4519,0,24.94826,121.49587,15.6
2013,13,250,7,24.96606,121.54297,41.4
2013,1,372,7,24.972929999999998,121.54026,40.5
2013,13,561,5,24.987460000000002,121.54391000000001,47.3
2013,35,640,3,24.97563,121.53715,40.8
2012,29,769,7,24.98281,121.53408,25.0
2012,10,211,1,24.97417,121.52998999999998,45.3
2013,21,537,4,24.97425,121.53813999999998,42.2
2013,5,390,5,24.97937,121.54245,52.2
2013,5,2408,0,24.95505,121.55963999999999,24.7
2013,22,379,10,24.98343,121.53761999999999,44.0
2012,6,379,10,24.98343,121.53761999999999,54.4
2013,39,333,9,24.98016,121.53931999999999,32.4
2013,3,373,10,24.983220000000003,121.53765,61.9
2012,13,492,5,24.96515,121.53737,39.3
2013,0,338,9,24.968529999999998,121.54413000000001,44.9
2013,13,492,5,24.96515,121.53737,40.1
2013,17,1805,2,24.986720000000002,121.52091000000001,31.1
2012,34,482,5,24.97433,121.53863,41.1
2013,12,1360,1,24.95204,121.54842,28.9
2013,30,472,3,24.97005,121.53758,36.5
2012,7,104,5,24.966739999999998,121.54066999999999,38.4
2013,4,2147,3,24.962989999999998,121.51284,30.7
2013,18,82,10,24.983,121.54026,46.6
2013,36,488,8,24.97015,121.54494,38.1
2013,14,1717,2,24.964470000000002,121.51648999999999,30.5
2013,35,616,8,24.97945,121.53641999999999,42.3
2013,16,4082,0,24.94155,121.50381000000002,12.8
2013,30,431,10,24.98123,121.53743,48.5
2013,20,737,2,24.98092,121.54739,46.4
2013,17,964,4,24.98872,121.53411000000001,38.2
2013,13,150,7,24.96725,121.54252,48.1
2013,30,1264,0,24.948829999999997,121.52954,18.3
2013,16,3529,0,24.93207,121.51597,29.3
2013,31,5512,1,24.95095,121.48458000000001,17.4
2013,41,401,4,24.98326,121.5446,35.1
2013,31,1758,1,24.95402,121.55282,20.7
2013,17,837,0,24.96334,121.54767,28.8
2013,12,732,0,24.976679999999998,121.52518,40.6
2013,0,274,1,24.9748,121.53058999999999,52.2
2013,32,1156,0,24.94935,121.53046,12.8
2013,35,616,3,24.97723,121.53766999999999,36.8
2012,0,274,1,24.9748,121.53058999999999,45.4
2012,12,170,1,24.97371,121.52984,37.3
2013,40,123,8,24.97635,121.54328999999998,44.3
2012,31,1146,0,24.9492,121.53076000000001,16.1
2013,15,383,7,24.96735,121.54463999999999,43.7
2013,13,170,1,24.97371,121.52984,29.3
2012,29,4510,1,24.94925,121.49542,13.2
2013,32,1438,3,24.97419,121.5175,27.0
2012,16,4066,0,24.942970000000003,121.50341999999999,20.5
2013,37,587,8,24.97077,121.54633999999999,37.4
2013,33,121,10,24.98178,121.54059,46.1
2013,35,318,9,24.97071,121.54068999999998,78.0
2012,0,338,9,24.968529999999998,121.54413000000001,50.8
2013,36,519,5,24.96305,121.53758,34.7
2013,11,390,5,24.97937,121.54245,39.4
2013,16,289,5,24.982029999999998,121.54348,51.0
2013,7,639,5,24.972579999999997,121.54813999999999,40.8
2013,32,4136,1,24.95544,121.4963,24.7
2013,25,1583,3,24.96622,121.51709,30.6
2013,15,461,5,24.95425,121.5399,34.6
2013,30,4510,1,24.94925,121.49542,22.6
2012,14,1360,1,24.95204,121.54842,24.6
2012,8,104,5,24.966739999999998,121.54066999999999,51.8
2013,20,2185,3,24.96322,121.51236999999999,25.7
2013,6,90,9,24.97433,121.5431,59.5
2013,30,718,3,24.975089999999998,121.53643999999998,55.3
2013,39,617,2,24.97577,121.53475,39.6
2013,33,270,0,24.97281,121.53265,42.9
2012,17,451,8,24.96945,121.5449,26.5
2013,12,1360,1,24.95204,121.54842,30.1
2012,31,1447,3,24.97285,121.5173,21.5
2012,8,1406,0,24.98573,121.52758,48.0
2012,1,23,7,24.96772,121.54101999999999,47.7
2012,12,170,1,24.97371,121.52984,32.9
2013,13,750,2,24.97371,121.54951000000001,37.0
2012,15,289,5,24.982029999999998,121.54348,53.0
2012,3,56,7,24.95744,121.53711000000001,54.4
2013,16,4066,0,24.942970000000003,121.50341999999999,18.3
2013,19,640,5,24.97017,121.54647,37.5
2012,29,506,4,24.97845,121.53889,40.3
2013,41,281,8,24.97345,121.54093,63.3
2013,4,1559,3,24.97213,121.51626999999999,21.7
2012,18,1009,0,24.96357,121.54951000000001,20.8
2012,37,918,1,24.97198,121.55063,31.9
2013,1,193,6,24.96571,121.54088999999999,48.6
2013,37,490,0,24.972170000000002,121.53471,37.0
2012,32,392,6,24.96398,121.5425,30.5
2012,26,4449,0,24.94898,121.49621,15.5
2013,13,4082,0,24.94155,121.50381000000002,15.9
2012,16,964,4,24.98872,121.53411000000001,37.7
2013,21,2185,3,24.96322,121.51236999999999,27.7
2012,11,1360,1,24.95204,121.54842,26.2
2013,20,1626,3,24.96622,121.51668000000001,29.4
2013,15,1756,2,24.9832,121.51812,27.3
2013,12,1360,1,24.95204,121.54842,25.3
2013,24,4527,0,24.94741,121.49628,14.4
2012,7,104,5,24.966739999999998,121.54066999999999,47.0
2013,17,837,0,24.96334,121.54767,23.0
2012,10,3079,0,24.9546,121.56626999999999,24.7
2012,2,1455,1,24.9512,121.54899999999999,25.6
2013,14,438,1,24.97493,121.5273,42.6
2013,21,512,4,24.974,121.53842,44.2
2012,30,143,8,24.98155,121.54142,53.3
2013,18,2179,3,24.962989999999998,121.51252,21.8
2013,13,561,5,24.987460000000002,121.54391000000001,54.8
2013,24,4605,0,24.946839999999998,121.49578000000001,13.4
2013,13,1164,4,24.99156,121.53406000000001,34.3
2013,35,579,2,24.9824,121.54619,50.5
2013,4,2275,3,24.96314,121.51151000000002,29.3
2012,16,4074,0,24.94235,121.50357,14.7
2013,13,4082,0,24.94155,121.50381000000002,20.0
2012,12,1712,2,24.96412,121.5167,31.3
2013,17,1783,3,24.96731,121.51486000000001,22.1
2012,15,289,5,24.982029999999998,121.54348,46.1
2013,13,492,5,24.96515,121.53737,48.0
2013,32,109,10,24.981820000000003,121.54086000000001,48.0
2012,9,279,7,24.975279999999998,121.54541,57.4
2013,20,287,6,24.980420000000002,121.54228,46.7
2013,4,2147,3,24.962989999999998,121.51284,33.4
2013,16,289,5,24.982029999999998,121.54348,51.4
2013,27,394,7,24.97305,121.53993999999999,41.0
2013,40,122,8,24.96756,121.5423,67.7
2013,11,3171,0,25.00115,121.51776000000001,46.6
2013,10,279,7,24.975279999999998,121.54541,47.9
2013,1,193,6,24.96571,121.54088999999999,54.4
2013,28,197,6,24.97631,121.54436000000001,42.5
2013,33,371,8,24.97254,121.54059,41.9
2013,1,193,6,24.96571,121.54088999999999,45.1
2013,8,104,5,24.966739999999998,121.54066999999999,56.8
2013,16,4066,0,24.942970000000003,121.50341999999999,20.7
2013,1,329,5,24.98254,121.54395,50.4
2012,15,752,2,24.97795,121.53451000000001,37.5
2013,6,376,6,24.954179999999997,121.53713,40.9
2013,34,3085,0,24.998,121.5155,41.2
2012,3,489,8,24.97017,121.54494,43.2
2013,37,186,9,24.97703,121.54265,78.3
2012,30,1013,5,24.99006,121.5346,22.8
2013,8,132,9,24.982979999999998,121.53981,47.3
2013,9,421,5,24.98246,121.54477,49.3
2012,15,1828,2,24.96464,121.51531000000001,20.9
2012,13,4197,0,24.93885,121.50383000000001,18.6
2012,14,1801,1,24.951529999999998,121.55254,24.8
2013,13,250,7,24.96606,121.54297,42.0
2013,16,2288,3,24.95885,121.51359,24.4
2013,8,104,5,24.966739999999998,121.54066999999999,42.8
2013,36,488,8,24.97015,121.54494,38.3
2012,20,2185,3,24.96322,121.51236999999999,25.6
2013,13,4197,0,24.93885,121.50383000000001,13.0
2012,20,2469,4,24.96108,121.51046000000001,21.8
2013,10,279,7,24.975279999999998,121.54541,51.6
2013,7,2175,3,24.96305,121.51253999999999,27.7
2012,34,567,4,24.970029999999998,121.5458,28.5
2012,34,175,8,24.973470000000002,121.54271000000001,40.9
2012,3,49,8,24.95836,121.53756000000001,57.8
2013,4,387,9,24.98118,121.53788,44.8
2013,6,90,9,24.97433,121.5431,58.0
2013,18,451,8,24.96945,121.5449,31.6
2013,13,289,5,24.982029999999998,121.54348,44.5
2013,2,156,4,24.96696,121.53992,36.9
2013,26,482,5,24.97433,121.53863,37.5
2012,37,488,1,24.973489999999998,121.53451000000001,34.2
2013,0,185,0,24.9711,121.5317,45.5
2012,0,185,0,24.9711,121.5317,55.2
2012,29,529,8,24.98102,121.53655,40.2
2012,5,90,9,24.97433,121.5431,56.3
2013,16,289,5,24.982029999999998,121.54348,41.2
2013,38,439,0,24.971610000000002,121.53423000000001,38.4
2013,1,193,6,24.96571,121.54088999999999,50.7
2013,3,383,5,24.98085,121.54391000000001,60.7
2013,14,393,6,24.96172,121.53811999999999,7.6
2013,32,377,9,24.971510000000002,121.5435,38.6
2012,12,492,5,24.96515,121.53737,42.5
2013,17,967,4,24.98872,121.53408,40.0
2013,32,493,7,24.96968,121.54522,40.6
2012,4,259,6,24.97585,121.54516000000001,53.7
2013,34,405,1,24.973489999999998,121.53372,41.4
2013,18,837,0,24.96334,121.54767,29.7
2013,30,1264,0,24.948829999999997,121.52954,19.1
2012,5,1867,2,24.984070000000003,121.51748,35.6
2013,13,732,0,24.976679999999998,121.52518,39.0
2013,11,1360,1,24.95204,121.54842,28.4
2012,0,208,6,24.95618,121.53844,45.7
2013,17,995,0,24.96305,121.54915,25.3
2013,6,90,9,24.97433,121.5431,58.1
2013,21,1157,0,24.96165,121.55011,23.8
2013,10,942,0,24.97843,121.52406,43.5
2013,33,157,7,24.966279999999998,121.54196,41.5
2013,31,1156,0,24.9489,121.53095,19.0
2012,38,552,2,24.97598,121.53381,29.8
2013,33,563,8,24.982229999999998,121.53596999999999,46.6
2013,0,292,6,24.977439999999998,121.54458000000001,69.7
2013,13,1164,4,24.99156,121.53406000000001,32.2
2013,22,707,2,24.980999999999998,121.54713000000001,36.6
2012,34,190,8,24.97707,121.54312,44.3
2013,16,815,4,24.97886,121.53464,35.6
2013,16,323,6,24.97841,121.5428,51.0
2013,16,2288,3,24.95885,121.51359,23.2
2012,0,185,0,24.9711,121.5317,37.9
2013,13,2147,3,24.962989999999998,121.51284,23.6
2013,12,1360,1,24.95204,121.54842,29.5
2013,19,461,5,24.95425,121.5399,34.0
2013,23,3947,0,24.94783,121.50243,25.3
2013,13,336,5,24.95776,121.53438,42.4
2013,29,535,8,24.98092,121.53653,37.5
2013,5,259,6,24.97585,121.54516000000001,63.2
2013,4,56,7,24.95744,121.53711000000001,62.1
2013,10,2251,4,24.959570000000003,121.51353,27.3
2012,20,2185,3,24.96322,121.51236999999999,22.8
2013,1,193,6,24.96571,121.54088999999999,49.0
2013,18,1414,1,24.95182,121.54887,26.5
2013,4,2147,3,24.962989999999998,121.51284,28.4
2013,28,617,3,24.97746,121.53298999999998,34.6
2013,26,482,5,24.97433,121.53863,35.5
2012,17,2175,3,24.96303,121.51253999999999,27.7
2013,10,252,1,24.9746,121.53046,117.5
2013,34,272,5,24.95562,121.53872,26.9
2013,19,1009,0,24.96357,121.54951000000001,22.3
